Season,Matches,Goals,Assists,Minutes,Mins_Per_Goal,Mins_Per_Assist
2017-18,36,32,10,2905,90.8,290.5
2018-19,38,22,8,3255,148.0,406.9
2019-20,34,19,10,2876,151.4,287.6
2020-21,37,22,5,3077,139.9,615.4
2021-22,35,23,13,2761,120.0,212.4
2022-23,38,19,12,3290,173.2,274.2
2023-24,32,18,10,2536,140.9,253.6
2024-25,38,29,18,3310,114.1,183.9
2025-26*,22,5,6,1819,363.8,303.2
