Season,Matches,Goals,Assists,Minutes,Mins_Per_Goal,Mins_Per_Assist
2017-18,49,44,16,3835,87.2,239.7
2018-19,50,27,10,4313,159.7,431.3
2019-20,42,23,32,3580,155.7,111.9
2020-21,47,31,6,3844,124,640.7
2021-22,48,31,15,3769,121.6,251.3
2022-23,46,30,16,3914,130.5,244.6
2023-24,41,25,15,2986,56.3,199.1
2024-25,47,34,23,4090,120.3,177.8
2025-26*,31,8,8,2447,305.9,305.9
